time_s,vx_est,vy_est,vz_est,vx_gt,vy_gt,vz_gt,err_vx,err_vy,err_vz,speed_est,speed_gt,speed_err
0.1000,0.00013,0.00006,0.00000,0.00011,0.00781,-0.00322,0.00002,-0.00775,0.00322,0.00014,0.00845,-0.00831
0.2000,-0.00845,0.00108,-0.00083,-0.00140,0.00904,-0.00169,-0.00705,-0.00796,0.00086,0.00856,0.00930,-0.00074
0.3000,-0.00186,0.00235,0.00283,0.00113,0.00850,-0.00446,-0.00299,-0.00615,0.00729,0.00412,0.00967,-0.00555
0.4000,0.00012,-0.00114,-0.00328,0.00013,0.00837,-0.00337,-0.00001,-0.00951,0.00009,0.00348,0.00902,-0.00555
0.5000,0.00090,-0.00050,0.00183,-0.00206,0.00879,-0.00247,0.00296,-0.00929,0.00430,0.00210,0.00936,-0.00726
0.6000,-0.00060,0.00031,0.00063,0.00218,0.00761,-0.00357,-0.00278,-0.00730,0.00420,0.00092,0.00868,-0.00776
0.7000,0.00049,-0.00151,-0.00109,-0.00237,-0.00247,-0.02987,0.00286,0.00096,0.02878,0.00193,0.03007,-0.02814
0.8000,-0.00032,0.00003,-0.00093,-0.00293,0.00991,-0.00191,0.00261,-0.00988,0.00098,0.00098,0.01051,-0.00952
0.9000,-0.00128,0.00135,0.00177,0.00135,0.00872,-0.00367,-0.00263,-0.00737,0.00544,0.00257,0.00956,-0.00699
1.0000,0.00224,0.00016,-0.00009,0.00146,0.00759,-0.00404,0.00078,-0.00743,0.00395,0.00224,0.00872,-0.00648
1.1000,-0.00966,0.00335,0.00063,-0.00220,0.01040,-0.00079,-0.00746,-0.00705,0.00142,0.01024,0.01066,-0.00042
1.2000,-0.03738,0.02346,0.01778,0.00053,0.00876,-0.00434,-0.03791,0.01470,0.02212,0.04758,0.00979,0.03779
1.3000,-0.12111,0.05374,0.03524,0.00037,0.00837,-0.00283,-0.12148,0.04537,0.03807,0.13710,0.00884,0.12826
1.4000,-0.26360,0.10951,0.05926,-0.00131,0.00896,-0.00250,-0.26229,0.10055,0.06176,0.29153,0.00939,0.28213
1.5000,-0.39171,0.16632,0.05951,0.00016,0.00835,-0.00315,-0.39187,0.15796,0.06266,0.42969,0.00893,0.42077
1.6000,-0.44963,0.19982,0.06182,0.03423,-0.17064,0.07483,-0.48386,0.37046,-0.01301,0.49590,0.18944,0.30646
1.7000,-0.47071,0.19831,0.07229,-0.00041,0.00550,-0.00126,-0.47030,0.19281,0.07355,0.51587,0.00566,0.51021
1.8000,-0.56168,0.23639,0.07460,0.00206,0.00538,-0.00186,-0.56374,0.23101,0.07646,0.61395,0.00605,0.60790
