frame_idx,timestamp,vx_cam,vy_cam,vz_cam,speed_mps
1,1602074877.390449047,-0.01469,-0.10849,2.84695,2.84906
2,1602074877.423449278,0.00944,-0.12411,2.77479,2.77758
3,1602074877.456449509,0.00617,-0.12460,2.76440,2.76721
4,1602074877.489449501,0.00294,-0.12510,2.75401,2.75685
5,1602074877.522449732,-0.00023,-0.12560,2.74362,2.74650
6,1602074877.555449486,0.04829,-0.14430,2.76009,2.76428
7,1602074877.588449717,0.07436,-0.14247,2.75293,2.75762
8,1602074877.621449709,0.06807,-0.13903,2.73531,2.73969
9,1602074877.654449940,0.06187,-0.13560,2.71767,2.72176
10,1602074877.687449932,0.08380,-0.14158,2.69044,2.69546
11,1602074877.720450163,0.08162,-0.14059,2.68319,2.68811
12,1602074877.753450155,0.07947,-0.13962,2.67594,2.68076
13,1602074877.786450148,0.07737,-0.13864,2.66871,2.67343
14,1602074877.819450378,0.07530,-0.13768,2.66148,2.66610
15,1602074877.852450371,0.07327,-0.13672,2.65426,2.65879
16,1602074877.885450602,0.07128,-0.13576,2.64704,2.65148
17,1602074877.918450356,0.06933,-0.13481,2.63984,2.64419
18,1602074877.951450586,0.06754,-0.12961,2.61988,2.62395
19,1602074877.984450817,0.06587,-0.12441,2.59992,2.60373
20,1602074878.017450809,0.06432,-0.11924,2.57998,2.58354
21,1602074878.050451040,0.06289,-0.11407,2.56005,2.56336
22,1602074878.083450794,0.06157,-0.10891,2.54013,2.54321
23,1602074878.116451025,0.06037,-0.10377,2.52022,2.52308
24,1602074878.149451017,0.05929,-0.09865,2.50033,2.50298
25,1602074878.182451248,0.05921,-0.09807,2.48924,2.49187
26,1602074878.215451241,0.05918,-0.09751,2.47817,2.48080
27,1602074878.248451233,0.05922,-0.09694,2.46713,2.46974
28,1602074878.281451464,0.05933,-0.09638,2.45610,2.45871
29,1602074878.314451456,0.05950,-0.09583,2.44510,2.44770
30,1602074878.347451687,0.05974,-0.09527,2.43411,2.43671
31,1602074878.380451679,0.06004,-0.09472,2.42315,2.42575
32,1602074878.413451672,0.06427,-0.09973,2.41389,2.41680
33,1602074878.446451664,0.06856,-0.10473,2.40467,2.40792
34,1602074878.479451895,0.07290,-0.10973,2.39549,2.39911
35,1602074878.512451887,0.07730,-0.11472,2.38635,2.39036
36,1602074878.545452118,0.08175,-0.11970,2.37726,2.38167
37,1602074878.578451872,0.08626,-0.12468,2.36821,2.37305
38,1602074878.611452103,0.08097,-0.12192,2.35176,2.35631
39,1602074878.644452333,0.07578,-0.11918,2.33530,2.33956
40,1602074878.677452326,0.07067,-0.11646,2.31882,2.32282
41,1602074878.710452557,0.06566,-0.11375,2.30233,2.30608
42,1602074878.743452311,0.06073,-0.11106,2.28583,2.28934
43,1602074878.776452541,0.05589,-0.10839,2.26932,2.27260
44,1602074878.809452534,0.04947,-0.10812,2.25997,2.26310
45,1602074878.842452765,0.04308,-0.10786,2.25061,2.25360
46,1602074878.875452995,0.03674,-0.10761,2.24122,2.24411
47,1602074878.908452749,0.03044,-0.10738,2.23182,2.23461
48,1602074878.941452980,0.02419,-0.10715,2.22241,2.22512
49,1602074878.974452972,0.01797,-0.10694,2.21297,2.21563
50,1602074879.007453203,0.01798,-0.10668,2.20059,2.20325
51,1602074879.040453196,0.01804,-0.10643,2.18822,2.19088
52,1602074879.073453426,0.01814,-0.10619,2.17586,2.17852
53,1602074879.106453180,0.01828,-0.10595,2.16350,2.16617
54,1602074879.139453411,0.01846,-0.10571,2.15114,2.15382
55,1602074879.172453642,0.01887,-0.10615,2.14558,2.14828
56,1602074879.205453634,0.01929,-0.10658,2.14002,2.14276
57,1602074879.238453865,0.01972,-0.10703,2.13446,2.13724
58,1602074879.271453619,0.02018,-0.10747,2.12892,2.13172
59,1602074879.304453850,0.02065,-0.10792,2.12338,2.12622
60,1602074879.337453842,0.01276,-0.11091,2.11563,2.11857
61,1602074879.370454073,0.00488,-0.11390,2.10786,2.11094
62,1602074879.403454065,-0.00297,-0.11689,2.10008,2.10333
63,1602074879.436454058,-0.01080,-0.11987,2.09227,2.09573
64,1602074879.469454050,-0.01862,-0.12285,2.08446,2.08816
65,1602074879.502454281,-0.02641,-0.12582,2.07662,2.08060
66,1602074879.535454512,-0.02560,-0.12595,2.06037,2.06437
67,1602074879.568454504,-0.02474,-0.12607,2.04412,2.04815
68,1602074879.601454496,-0.02384,-0.12619,2.02788,2.03194
69,1602074879.634454489,-0.02290,-0.12632,2.01164,2.01573
70,1602074879.667454720,-0.02192,-0.12644,1.99541,1.99953
71,1602074879.700454712,-0.02090,-0.12655,1.97918,1.98333
72,1602074879.733454943,-0.01495,-0.12613,1.96943,1.97352
73,1602074879.766454697,-0.00897,-0.12571,1.95970,1.96374
74,1602074879.799454927,-0.00298,-0.12528,1.94998,1.95400
75,1602074879.832455158,0.00304,-0.12486,1.94027,1.94429
76,1602074879.865455151,0.00908,-0.12444,1.93058,1.93461
77,1602074879.898455381,0.01514,-0.12403,1.92091,1.92497
78,1602074879.931455135,0.01088,-0.12377,1.91337,1.91740
79,1602074879.964455366,0.00663,-0.12350,1.90582,1.90983
80,1602074879.997455359,0.00241,-0.12324,1.89826,1.90226
81,1602074880.030455589,-0.00180,-0.12297,1.89070,1.89470
82,1602074880.063455820,-0.00600,-0.12270,1.88313,1.88713
83,1602074880.096455574,-0.01018,-0.12243,1.87555,1.87957
84,1602074880.129455805,-0.01480,-0.12127,1.86781,1.87180
85,1602074880.162455797,-0.01940,-0.12013,1.86006,1.86403
86,1602074880.195456028,-0.02399,-0.11898,1.85230,1.85627
87,1602074880.228456020,-0.02857,-0.11784,1.84453,1.84851
88,1602074880.261456013,-0.03313,-0.11670,1.83676,1.84076
89,1602074880.294456005,-0.03498,-0.11710,1.83657,1.84063
90,1602074880.327456236,-0.03683,-0.11750,1.83637,1.84050
91,1602074880.360456228,-0.03868,-0.11791,1.83618,1.84037
92,1602074880.393456459,-0.04053,-0.11831,1.83599,1.84024
93,1602074880.426456690,-0.04238,-0.11871,1.83579,1.84011
94,1602074880.459456444,-0.04118,-0.11776,1.83817,1.84239
95,1602074880.492456675,-0.03998,-0.11681,1.84054,1.84468
96,1602074880.525456667,-0.03879,-0.11585,1.84292,1.84697
97,1602074880.558456898,-0.03759,-0.11490,1.84530,1.84926
98,1602074880.591456652,-0.03640,-0.11395,1.84768,1.85155
99,1602074880.624456882,-0.03521,-0.11301,1.85007,1.85385
100,1602074880.657457113,-0.03285,-0.10954,1.85281,1.85633
101,1602074880.690457106,-0.03049,-0.10608,1.85555,1.85883
102,1602074880.723457336,-0.02812,-0.10261,1.85829,1.86134
103,1602074880.756457329,-0.02575,-0.09915,1.86104,1.86385
104,1602074880.789457321,-0.02339,-0.09569,1.86378,1.86638
105,1602074880.822457314,-0.02102,-0.09222,1.86652,1.86891
106,1602074880.855457544,-0.01794,-0.09134,1.86565,1.86797
107,1602074880.888457537,-0.01486,-0.09047,1.86478,1.86704
108,1602074880.921457767,-0.01178,-0.08959,1.86391,1.86610
109,1602074880.954457521,-0.00870,-0.08872,1.86304,1.86517
110,1602074880.987457752,-0.00562,-0.08786,1.86216,1.86424
111,1602074881.020457983,-0.00254,-0.08699,1.86127,1.86331
112,1602074881.053457975,-0.01352,-0.09002,1.87704,1.87925
113,1602074881.086458206,-0.02447,-0.09305,1.89284,1.89529
114,1602074881.119457960,-0.03538,-0.09607,1.90867,1.91141
115,1602074881.152458191,-0.04626,-0.09910,1.92452,1.92763
116,1602074881.185458183,-0.05710,-0.10213,1.94040,1.94393
117,1602074881.218458414,-0.06578,-0.09024,1.94280,1.94601
118,1602074881.251458406,-0.07446,-0.07836,1.94525,1.94825
119,1602074881.284458399,-0.08313,-0.06648,1.94775,1.95066
120,1602074881.317458630,-0.09179,-0.05460,1.95031,1.95323
121,1602074881.350458622,-0.10045,-0.04272,1.95291,1.95596
122,1602074881.383458853,-0.10909,-0.03085,1.95557,1.95885
123,1602074881.416458845,-0.11278,-0.02894,1.95547,1.95894
124,1602074881.449458838,-0.11648,-0.02705,1.95540,1.95905
125,1602074881.482458830,-0.12019,-0.02516,1.95535,1.95920
126,1602074881.515459061,-0.12390,-0.02327,1.95533,1.95939
127,1602074881.548459053,-0.12761,-0.02140,1.95533,1.95960
128,1602074881.581459284,-0.13133,-0.01953,1.95535,1.95986
129,1602074881.614459038,-0.13505,-0.01767,1.95540,1.96014
130,1602074881.647459269,-0.13877,-0.01581,1.95548,1.96046
131,1602074881.680459499,-0.14557,-0.02692,1.97671,1.98225
132,1602074881.713459492,-0.15221,-0.03808,1.99799,2.00414
133,1602074881.746459723,-0.15869,-0.04931,2.01932,2.02614
134,1602074881.779459476,-0.16500,-0.06059,2.04068,2.04824
135,1602074881.812459707,-0.17116,-0.07192,2.06209,2.07043
136,1602074881.845459700,-0.16835,-0.07297,2.06853,2.07665
137,1602074881.878459930,-0.16549,-0.07401,2.07498,2.08288
138,1602074881.911459923,-0.16259,-0.07507,2.08143,2.08912
139,1602074881.944459915,-0.15964,-0.07613,2.08788,2.09536
140,1602074881.977460146,-0.15665,-0.07719,2.09435,2.10162
141,1602074882.010460138,-0.15362,-0.07827,2.10082,2.10788
142,1602074882.043460369,-0.15054,-0.07934,2.10729,2.11415
143,1602074882.076460361,-0.16315,-0.07760,2.11981,2.12749
144,1602074882.109460592,-0.17563,-0.07586,2.13252,2.14108
145,1602074882.142460346,-0.18798,-0.07414,2.14542,2.15492
146,1602074882.175460577,-0.20019,-0.07242,2.15852,2.16899
147,1602074882.208460808,-0.21227,-0.07071,2.17181,2.18331
148,1602074882.241460800,-0.22421,-0.06901,2.18529,2.19785
149,1602074882.274461031,-0.23602,-0.06732,2.19897,2.21262
150,1602074882.307460785,-0.25265,-0.06330,2.21713,2.23238
151,1602074882.340461016,-0.26907,-0.05929,2.23561,2.25252
152,1602074882.373461008,-0.28525,-0.05531,2.25438,2.27303
153,1602074882.406461239,-0.30121,-0.05135,2.27347,2.29391
154,1602074882.439461231,-0.31693,-0.04741,2.29285,2.31514
155,1602074882.472461224,-0.33242,-0.04349,2.31254,2.33671
156,1602074882.505461216,-0.34766,-0.03958,2.33252,2.35862
157,1602074882.538461447,-0.32291,-0.03999,2.34797,2.37041
158,1602074882.571461678,-0.29794,-0.04041,2.36317,2.38222
159,1602074882.604461670,-0.27275,-0.04086,2.37813,2.39407
160,1602074882.637461662,-0.24734,-0.04133,2.39283,2.40593
161,1602074882.670461655,-0.22172,-0.04182,2.40728,2.41783
162,1602074882.703461885,-0.19588,-0.04234,2.42147,2.42974
163,1602074882.736462116,-0.18018,-0.04416,2.44002,2.44706
164,1602074882.769462109,-0.16419,-0.04598,2.45847,2.46438
165,1602074882.802461863,-0.14789,-0.04780,2.47683,2.48171
166,1602074882.835462093,-0.13130,-0.04961,2.49509,2.49904
167,1602074882.868462324,-0.11440,-0.05142,2.51325,2.51638
168,1602074882.901462317,-0.13907,-0.04739,2.53937,2.54361
169,1602074882.934462547,-0.16330,-0.04353,2.56610,2.57166
170,1602074882.967462301,-0.18710,-0.03984,2.59345,2.60049
171,1602074883.000462532,-0.21046,-0.03633,2.62140,2.63008
172,1602074883.033462524,-0.23336,-0.03299,2.64995,2.66041
173,1602074883.066462755,-0.22701,-0.03184,2.67399,2.68379
174,1602074883.099462748,-0.22023,-0.03070,2.69814,2.70729
175,1602074883.132462740,-0.21301,-0.02959,2.72241,2.73089
176,1602074883.165462971,-0.20536,-0.02849,2.74678,2.75459
177,1602074883.198462963,-0.19726,-0.02741,2.77124,2.77839
178,1602074883.231463194,-0.22164,-0.04379,2.80697,2.81604
179,1602074883.264463186,-0.24533,-0.06017,2.84344,2.85463
180,1602074883.297463179,-0.26831,-0.07657,2.88064,2.89412
181,1602074883.330463171,-0.29057,-0.09297,2.91857,2.93448
182,1602074883.363463402,-0.30228,-0.09862,2.94352,2.96064
183,1602074883.396463633,-0.31349,-0.10431,2.96899,2.98732
184,1602074883.429463625,-0.32421,-0.11004,2.99499,3.01449
185,1602074883.462463856,-0.33443,-0.11581,3.02150,3.04216
186,1602074883.495463610,-0.34413,-0.12162,3.04853,3.07030
187,1602074883.528463840,-0.34568,-0.11985,3.07883,3.10049
188,1602074883.561463833,-0.34665,-0.11810,3.10947,3.13096
189,1602074883.594464064,-0.34703,-0.11637,3.14046,3.16171
190,1602074883.627463818,-0.34681,-0.11466,3.17177,3.19273
191,1602074883.660464048,-0.34599,-0.11296,3.20340,3.22401
192,1602074883.693464279,-0.34706,-0.11529,3.23767,3.25826
193,1602074883.726464272,-0.34745,-0.11761,3.27233,3.29283
194,1602074883.759464502,-0.34713,-0.11991,3.30736,3.32769
195,1602074883.792464495,-0.34609,-0.12220,3.34276,3.36285
196,1602074883.825464487,-0.34832,-0.12656,3.36038,3.38076
197,1602074883.858464479,-0.35021,-0.13087,3.37845,3.39908
198,1602074883.891464710,-0.35176,-0.13513,3.39696,3.41780
199,1602074883.924464703,-0.35295,-0.13934,3.41590,3.43691
200,1602074883.957464933,-0.36069,-0.13990,3.44215,3.46382
201,1602074883.990464926,-0.36791,-0.14043,3.46894,3.49122
202,1602074884.023464918,-0.37459,-0.14091,3.49627,3.51910
203,1602074884.056465149,-0.38074,-0.14134,3.52412,3.54744
204,1602074884.089465141,-0.40965,-0.13359,3.56830,3.59422
205,1602074884.122465372,-0.43768,-0.12586,3.61348,3.64206
206,1602074884.155465126,-0.46481,-0.11817,3.65962,3.69091
207,1602074884.188465357,-0.49101,-0.11050,3.70672,3.74074
208,1602074884.221465349,-0.45126,-0.11123,3.72056,3.74947
209,1602074884.254465580,-0.41128,-0.11191,3.73397,3.75821
210,1602074884.287465811,-0.37108,-0.11256,3.74695,3.76696
211,1602074884.320465565,-0.33066,-0.11317,3.75950,3.77571
212,1602074884.353465796,-0.27984,-0.11730,3.76793,3.78013
213,1602074884.386465788,-0.22889,-0.12140,3.77573,3.78461
214,1602074884.419466019,-0.17782,-0.12548,3.78289,3.78915
215,1602074884.452466011,-0.12663,-0.12953,3.78943,3.79376
216,1602074884.485466003,-0.12668,-0.14050,3.82979,3.83446
217,1602074884.518466234,-0.12598,-0.15147,3.87048,3.87549
218,1602074884.551466227,-0.12454,-0.16244,3.91149,3.91684
219,1602074884.584466219,-0.12233,-0.17340,3.95282,3.95851
220,1602074884.617466450,-0.11631,-0.18075,4.00234,4.00811
221,1602074884.650466442,-0.10943,-0.18810,4.05207,4.05791
222,1602074884.683466434,-0.10168,-0.19547,4.10198,4.10789
223,1602074884.716466665,-0.09305,-0.20285,4.15207,4.15806
224,1602074884.749466658,-0.11547,-0.20175,4.18134,4.18779
225,1602074884.782466888,-0.13741,-0.20062,4.21123,4.21824
226,1602074884.815466642,-0.15886,-0.19947,4.24174,4.24940
227,1602074884.848466873,-0.17984,-0.19830,4.27286,4.28124
228,1602074884.881466866,-0.21426,-0.18415,4.29278,4.30206
229,1602074884.914467096,-0.24838,-0.16996,4.31346,4.32395
230,1602074884.947467327,-0.28217,-0.15573,4.33491,4.34688
231,1602074884.980467081,-0.31564,-0.14147,4.35713,4.37084
232,1602074885.013467312,-0.29393,-0.13691,4.40467,4.41658
233,1602074885.046467304,-0.27158,-0.13233,4.45210,4.46234
234,1602074885.079467535,-0.24857,-0.12772,4.49944,4.50811
235,1602074885.112467527,-0.22493,-0.12308,4.54667,4.55389
236,1602074885.145467758,-0.18668,-0.12994,4.57819,4.58384
237,1602074885.178467751,-0.14812,-0.13680,4.60945,4.61386
238,1602074885.211467743,-0.10926,-0.14367,4.64043,4.64394
239,1602074885.244467974,-0.07008,-0.15055,4.67113,4.67408
240,1602074885.277467966,-0.03061,-0.15744,4.70155,4.70428
241,1602074885.310468197,-0.03793,-0.16915,4.72731,4.73049
242,1602074885.343467951,-0.04505,-0.18090,4.75319,4.75684
243,1602074885.376468182,-0.05198,-0.19270,4.77917,4.78334
244,1602074885.409468174,-0.05870,-0.20453,4.80527,4.80998
245,1602074885.442468405,-0.06522,-0.21640,4.83148,4.83676
246,1602074885.475468636,-0.07902,-0.22010,4.85112,4.85675
247,1602074885.508468390,-0.09267,-0.22375,4.87093,4.87695
248,1602074885.541468620,-0.10618,-0.22736,4.89092,4.89736
249,1602074885.574468613,-0.11955,-0.23093,4.91108,4.91796
250,1602074885.607468843,-0.13277,-0.23445,4.93142,4.93877
251,1602074885.640468836,-0.13052,-0.22794,4.96722,4.97416
252,1602074885.673468828,-0.12802,-0.22138,5.00305,5.00958
253,1602074885.706468821,-0.12527,-0.21477,5.03891,5.04504
254,1602074885.739469051,-0.12228,-0.20811,5.07481,5.08055
255,1602074885.772469044,-0.11905,-0.20140,5.11074,5.11609
256,1602074885.805469275,-0.11843,-0.20124,5.14932,5.15461
257,1602074885.838469267,-0.11758,-0.20105,5.18795,5.19318
258,1602074885.871469259,-0.11648,-0.20084,5.22663,5.23178
259,1602074885.904469490,-0.11514,-0.20059,5.26535,5.27042
260,1602074885.937469482,-0.11356,-0.20032,5.30411,5.30911
261,1602074885.970469713,-0.11030,-0.20439,5.33218,5.33723
262,1602074886.003469467,-0.10687,-0.20847,5.36027,5.36539
263,1602074886.036469698,-0.10327,-0.21257,5.38839,5.39357
264,1602074886.069469690,-0.09950,-0.21668,5.41653,5.42178
265,1602074886.102469921,-0.09556,-0.22082,5.44470,5.45002
266,1602074886.135470152,-0.09360,-0.22523,5.46215,5.46759
267,1602074886.168469906,-0.09155,-0.22965,5.47962,5.48520
268,1602074886.201470137,-0.08942,-0.23409,5.49711,5.50282
269,1602074886.234470129,-0.08721,-0.23853,5.51462,5.52047
270,1602074886.267470360,-0.08491,-0.24298,5.53216,5.53814
271,1602074886.300470352,-0.08407,-0.24130,5.55808,5.56395
272,1602074886.333470583,-0.08314,-0.23963,5.58403,5.58978
273,1602074886.366470337,-0.08209,-0.23797,5.60999,5.61564
274,1602074886.399470568,-0.08095,-0.23633,5.63598,5.64151
275,1602074886.432470560,-0.07479,-0.23426,5.67384,5.67917
276,1602074886.465470791,-0.06851,-0.23221,5.71170,5.71683
277,1602074886.498471022,-0.06210,-0.23019,5.74956,5.75450
278,1602074886.531470776,-0.05557,-0.22819,5.78742,5.79218
279,1602074886.564471006,-0.05352,-0.23123,5.82531,5.83014
280,1602074886.597470999,-0.05136,-0.23426,5.86321,5.86811
281,1602074886.630471230,-0.04910,-0.23727,5.90111,5.90608
282,1602074886.663471460,-0.04673,-0.24028,5.93902,5.94406
283,1602074886.696471214,-0.04703,-0.24605,5.94091,5.94619
284,1602074886.729471445,-0.04733,-0.25181,5.94280,5.94832
285,1602074886.762471437,-0.04762,-0.25758,5.94470,5.95047
286,1602074886.795471668,-0.04791,-0.26334,5.94661,5.95263
287,1602074886.828471661,-0.04641,-0.26513,5.95039,5.95647
288,1602074886.861471653,-0.04490,-0.26692,5.95417,5.96032
289,1602074886.894471645,-0.04337,-0.26872,5.95796,5.96417
290,1602074886.927471876,-0.04183,-0.27051,5.96176,5.96804
291,1602074886.960471869,-0.04200,-0.26679,5.99000,5.99608
292,1602074886.993472099,-0.04210,-0.26304,6.01825,6.02414
293,1602074887.026471853,-0.04212,-0.25928,6.04651,6.05221
294,1602074887.059472084,-0.04207,-0.25549,6.07477,6.08029
295,1602074887.092472315,-0.04113,-0.25360,6.10256,6.10797
296,1602074887.125472307,-0.04014,-0.25169,6.13035,6.13565
297,1602074887.158472538,-0.03909,-0.24974,6.15815,6.16333
298,1602074887.191472292,-0.03800,-0.24777,6.18594,6.19102
299,1602074887.224472523,-0.03206,-0.25320,6.21578,6.22102
300,1602074887.257472515,-0.02607,-0.25861,6.24562,6.25103
301,1602074887.290472746,-0.02004,-0.26402,6.27545,6.28104
302,1602074887.323472977,-0.01398,-0.26941,6.30529,6.31105
303,1602074887.356472731,-0.00899,-0.27318,6.31993,6.32584
304,1602074887.389472961,-0.00400,-0.27694,6.33457,6.34062
305,1602074887.422472954,0.00100,-0.28070,6.34921,6.35542
306,1602074887.455473185,0.00601,-0.28444,6.36386,6.37021
307,1602074887.488473177,0.00161,-0.28186,6.37474,6.38096
308,1602074887.521473169,-0.00278,-0.27925,6.38562,6.39172
309,1602074887.554473400,-0.00716,-0.27663,6.39650,6.40249
310,1602074887.587473392,-0.01154,-0.27400,6.40739,6.41325
311,1602074887.620473623,-0.01591,-0.27152,6.43114,6.43689
312,1602074887.653473616,-0.02027,-0.26901,6.45489,6.46053
313,1602074887.686473846,-0.02463,-0.26648,6.47864,6.48417
314,1602074887.719473600,-0.02898,-0.26393,6.50239,6.50781
315,1602074887.752473831,-0.02898,-0.26394,6.51731,6.52272
316,1602074887.785473824,-0.02898,-0.26393,6.53223,6.53763
317,1602074887.818474054,-0.02898,-0.26391,6.54716,6.55254
318,1602074887.851473808,-0.02897,-0.26388,6.56208,6.56745
319,1602074887.884474039,-0.02860,-0.26746,6.57048,6.57599
320,1602074887.917474270,-0.02823,-0.27103,6.57889,6.58453
321,1602074887.950474262,-0.02786,-0.27461,6.58729,6.59307
322,1602074887.983474493,-0.02749,-0.27819,6.59569,6.60161
323,1602074888.016474485,-0.02220,-0.28037,6.61076,6.61674
324,1602074888.049474478,-0.01690,-0.28256,6.62583,6.63188
325,1602074888.082474470,-0.01161,-0.28477,6.64091,6.64702
326,1602074888.115474701,-0.00633,-0.28699,6.65598,6.66217
327,1602074888.148474693,-0.00393,-0.28972,6.65346,6.65976
328,1602074888.181474924,-0.00153,-0.29245,6.65093,6.65736
329,1602074888.214474916,0.00088,-0.29517,6.64841,6.65495
330,1602074888.247474909,0.00329,-0.29790,6.64588,6.65256
331,1602074888.280475140,0.00524,-0.30005,6.64741,6.65418
332,1602074888.313475132,0.00718,-0.30221,6.64894,6.65581
333,1602074888.346475363,0.00911,-0.30436,6.65049,6.65745
334,1602074888.379475117,0.01104,-0.30653,6.65203,6.65910
335,1602074888.412475348,0.01083,-0.29837,6.66526,6.67195
336,1602074888.445475340,0.01061,-0.29019,6.67848,6.68479
337,1602074888.478475571,0.01040,-0.28198,6.69169,6.69764
338,1602074888.511475801,0.01018,-0.27375,6.70489,6.71049
339,1602074888.544475555,0.00915,-0.27446,6.74419,6.74978
340,1602074888.577475786,0.00810,-0.27517,6.78349,6.78907
341,1602074888.610475779,0.00703,-0.27588,6.82278,6.82836
342,1602074888.643476009,0.00594,-0.27658,6.86208,6.86765
343,1602074888.676476002,0.00895,-0.28923,6.86055,6.86665
344,1602074888.709475994,0.01195,-0.30188,6.85902,6.86567
345,1602074888.742475986,0.01494,-0.31454,6.85747,6.86469
346,1602074888.775476217,0.01793,-0.32719,6.85591,6.86373
347,1602074888.808476448,0.01942,-0.32843,6.83559,6.84350
348,1602074888.841476440,0.02092,-0.32964,6.81528,6.82328
349,1602074888.874476433,0.02242,-0.33082,6.79497,6.80306
350,1602074888.907476425,0.02393,-0.33197,6.77467,6.78284
351,1602074888.940476656,0.01012,-0.32354,6.79599,6.80370
352,1602074888.973476648,-0.00370,-0.31512,6.81731,6.82459
