frame_idx,timestamp,vx_cam,vy_cam,vz_cam,speed_mps
0,0.000000000,0.49679,-0.23370,9.64466,9.66027
1,0.103759500,0.49555,-0.22980,9.61360,9.62911
2,0.207590100,0.50881,-0.21010,9.61247,9.62822
3,0.311605500,0.43346,-0.19862,9.59089,9.60273
4,0.415086000,0.50626,-0.19310,9.60632,9.62159
5,0.518869200,0.49530,-0.22543,9.54346,9.55896
6,0.622687600,0.47743,-0.23965,9.53953,9.55448
7,0.726431800,0.52695,-0.19597,9.50431,9.52093
8,0.830170600,0.47391,-0.18845,9.49991,9.51359
9,0.933952800,0.46298,-0.20423,9.47987,9.49337
10,1.037695000,0.46566,-0.21596,9.44451,9.45845
11,1.141483000,0.46541,-0.23271,9.43755,9.45188
12,1.245136000,0.46035,-0.21092,9.39629,9.40992
13,1.348871000,0.51565,-0.21520,9.36678,9.38343
14,1.452734000,0.45343,-0.21337,9.31546,9.32893
15,1.556375000,0.53056,-0.19520,9.32005,9.33718
16,1.660095000,0.50052,-0.19669,9.28716,9.30272
17,1.763837000,0.45059,-0.20375,9.23481,9.24804
18,1.867714000,0.51295,-0.16996,9.21142,9.22725
19,1.971323000,0.45999,-0.18282,9.18173,9.19506
20,2.074937000,0.49848,-0.18081,9.16113,9.17646
21,2.178679000,0.52481,-0.16565,9.16730,9.18380
22,2.282428000,0.48488,-0.11125,9.18014,9.19361
23,2.386034000,0.49709,-0.13666,9.25625,9.27060
24,2.489649000,0.50180,-0.16193,9.27436,9.28934
25,2.593387000,0.42867,-0.14277,9.30308,9.31404
26,2.697006000,0.42399,-0.11322,9.41961,9.42983
27,2.800620000,0.39395,-0.12196,9.50467,9.51361
28,2.904387000,0.39593,-0.16139,9.56397,9.57353
29,3.008111000,0.34241,-0.13589,9.57523,9.58232
30,3.111717000,0.34127,-0.12854,9.64977,9.65666
31,3.215334000,0.36697,-0.12773,9.78141,9.78913
32,3.319074000,0.35832,-0.12343,9.89326,9.90052
33,3.422811000,0.32711,-0.12743,10.01262,10.01877
34,3.526551000,0.31297,-0.12105,10.14321,10.14876
35,3.630286000,0.34117,-0.11083,10.26254,10.26881
36,3.733924000,0.32928,-0.10676,10.39756,10.40332
37,3.837524000,0.32293,-0.10203,10.52170,10.52715
38,3.941290000,0.31520,-0.10777,10.65029,10.65550
39,4.044901000,0.29797,-0.11397,10.75663,10.76136
40,4.148625000,0.25756,-0.13092,10.89110,10.89494
41,4.252293000,0.23207,-0.13544,10.94732,10.95062
42,4.355974000,0.18367,-0.14039,11.02282,11.02524
43,4.459609000,0.15745,-0.15296,11.09254,11.09471
44,4.563217000,0.15969,-0.15093,11.19605,11.19820
45,4.666947000,0.15835,-0.12514,11.38696,11.38874
46,4.770559000,0.16121,-0.09261,11.59858,11.60007
47,4.874319000,0.11381,-0.07652,11.84649,11.84729
48,4.977967000,0.08970,-0.07027,12.07317,12.07370
49,5.081656000,0.09437,-0.07816,12.25009,12.25071
50,5.185269000,0.07064,-0.06893,12.49018,12.49057
51,5.288943000,0.07739,-0.07077,12.69230,12.69274
52,5.392622000,0.05486,-0.06770,12.93639,12.93669
53,5.496314000,0.05589,-0.05925,13.16058,13.16083
54,5.600026000,0.04621,-0.07801,13.35708,13.35739
55,5.703641000,0.06052,-0.07531,13.54813,13.54848
56,5.807340000,0.03472,-0.08394,13.74842,13.74873
57,5.910955000,0.05331,-0.07083,13.95720,13.95748
58,6.014715000,0.02767,-0.09329,14.11297,14.11331
59,6.118447000,0.02083,-0.10747,14.36878,14.36920
60,6.221927000,0.01213,-0.09046,14.56106,14.56135
61,6.325669000,-0.00538,-0.10295,14.76762,14.76798
62,6.429280000,0.01760,-0.10869,14.95893,14.95934
63,6.533021000,-0.00088,-0.09336,15.13751,15.13780
64,6.636673000,0.01083,-0.10574,15.40815,15.40851
65,6.740399000,-0.00181,-0.10406,15.57439,15.57474
66,6.844097000,0.02484,-0.10424,15.77222,15.77259
67,6.947755000,0.03659,-0.13357,15.91332,15.91392
68,7.051471000,0.02264,-0.15467,15.99927,16.00004
69,7.155209000,0.04285,-0.17408,16.17026,16.17125
70,7.258923000,0.00350,-0.16772,16.31094,16.31180
71,7.362568000,0.02548,-0.17006,16.45026,16.45116
72,7.466210000,-0.00064,-0.16083,16.64015,16.64092
73,7.569925000,0.03414,-0.16617,16.77061,16.77147
74,7.673572000,0.01696,-0.17681,16.92394,16.92487
75,7.777286000,0.02634,-0.18131,17.07595,17.07693
76,7.881024000,0.00873,-0.18230,17.18475,17.18572
77,7.984696000,0.01891,-0.19216,17.32042,17.32150
78,8.088400000,0.01513,-0.20026,17.45732,17.45848
79,8.192118000,-0.00099,-0.18348,17.65821,17.65916
80,8.295863000,0.02350,-0.17542,17.77719,17.77807
81,8.399546000,-0.00711,-0.17577,17.94042,17.94128
82,8.503235000,0.04307,-0.18145,18.04093,18.04190
83,8.606978000,0.03296,-0.17380,18.22823,18.22909
84,8.710698000,0.06261,-0.14642,18.35030,18.35099
85,8.814436000,0.03346,-0.20435,18.47182,18.47298
86,8.918107000,0.03260,-0.21811,18.55557,18.55688
87,9.021867000,0.03732,-0.25029,18.62273,18.62445
88,9.125548000,0.06000,-0.23087,18.77379,18.77531
89,9.229148000,0.05702,-0.25152,18.84935,18.85111
90,9.332783000,0.04550,-0.25098,18.97166,18.97337
91,9.436507000,0.02687,-0.22657,19.10046,19.10182
92,9.540126000,0.01102,-0.23605,19.18192,19.18338
93,9.643856000,0.03090,-0.22524,19.29500,19.29634
94,9.747566000,0.03378,-0.23471,19.38254,19.38399
95,9.851216000,0.05311,-0.24807,19.45254,19.45419
96,9.954854000,0.03523,-0.23606,19.55677,19.55822
97,10.058450000,0.06803,-0.23860,19.66341,19.66498
98,10.162270000,0.03748,-0.25499,19.76816,19.76984
99,10.265950000,0.03128,-0.23535,19.83151,19.83293
100,10.369540000,0.01745,-0.24896,19.93270,19.93426
101,10.473330000,0.05944,-0.23561,20.01047,20.01195
102,10.577010000,0.06803,-0.22746,20.12787,20.12927
103,10.680800000,0.07203,-0.26685,20.19296,20.19485
104,10.784490000,0.05839,-0.25473,20.26827,20.26996
105,10.888380000,0.05054,-0.25694,20.37853,20.38022
106,10.992100000,0.03593,-0.25651,20.43716,20.43881
107,11.096280000,0.03886,-0.28116,20.58124,20.58319
108,11.199650000,0.03906,-0.25704,20.65661,20.65825
109,11.303360000,0.04110,-0.25418,20.75041,20.75201
110,11.407080000,0.04012,-0.27006,20.82105,20.82284
111,11.510570000,0.03761,-0.27482,20.90161,20.90345
112,11.614180000,0.04041,-0.25835,21.02353,21.02515
113,11.718020000,0.05276,-0.28239,21.08594,21.08790
114,11.821430000,0.05716,-0.28824,21.16946,21.17150
115,11.925060000,0.04362,-0.28878,21.24154,21.24355
116,12.028650000,0.04831,-0.28146,21.31186,21.31377
117,12.132140000,0.04356,-0.26029,21.40805,21.40968
118,12.235950000,0.04780,-0.28332,21.48846,21.49038
